Time,Fx,Lambda
0,249.4507,0
0.01999999,242.965,0
0.03999998,293.7592,0
0.05999998,285.4839,0
0.07999997,293.3706,0
0.09999996,297.9801,0
0.12,303.3738,0
0.14,308.7778,0
0.1599999,314.3278,0
0.1799999,319.9975,0
0.1999999,325.788,0
0.2199999,331.6965,0
0.2399999,337.7205,0
0.2599999,343.8575,0
0.2799999,350.105,0
0.2999999,356.4608,0
0.3199999,362.9225,0
0.3399999,369.4877,0
0.3599999,376.1542,0
0.3799999,382.9198,0
0.3999999,389.7821,0
0.4199998,396.739,0
0.4399998,403.7884,0
0.4599998,410.9282,0
0.4799998,418.1562,0
0.4999998,425.4704,0
0.5199998,432.8686,0
0.5399998,440.349,0
0.5599998,447.9096,0
0.5799998,455.5483,0
0.5999998,463.2633,0
0.6199998,471.0526,0
0.6399997,478.9143,0
0.6599998,486.8469,0
0.6799998,494.8481,0
0.6999997,502.9165,0
0.7199997,511.0501,0
0.7399997,519.2473,0
0.7599998,527.5062,0
0.7799997,535.8254,0
0.7999997,544.2029,0
0.8199997,552.6374,0
0.8399997,561.127,0
0.8599997,569.6703,0
0.8799997,578.2656,0
0.8999997,586.9114,0
0.9199997,595.6062,0
0.9399996,604.3486,0
0.9599997,613.1368,0
0.9799997,621.9697,0
0.9999996,630.8458,0
1.02,639.7635,0
1.04,648.7215,0
1.06,657.7184,0
1.08,666.753,0
1.1,675.8239,0
1.12,684.9297,0
1.14,694.0692,0
1.16,703.241,0
1.18,712.4439,0
1.2,721.6769,0
1.22,730.9385,0
1.24,740.2277,0
1.26,749.5432,0
1.279999,758.8839,0
1.3,768.2485,0
1.32,777.6362,0
1.34,787.0457,0
1.36,796.4759,0
1.38,805.9257,0
1.399999,815.3942,0
1.419999,824.8804,0
1.439999,834.3829,0
1.459999,843.9011,0
1.479999,853.4337,0
1.5,862.9799,0
1.52,872.539,0
1.539999,882.1097,0
1.559999,891.6912,0
1.579999,901.2826,0
1.599999,910.8829,0
1.619999,920.4913,0
1.639999,930.1069,0
