Time,Fx,Lambda
0,0,0
0.01999999,0,0
0.03999998,0,0
0.05999998,0,0
0.07999997,0,0
0.09999996,0,0
0.12,0,0
0.14,0,0
0.1599999,0,0
0.1799999,0,0
0.1999999,0,0
0.2199999,0,0
0.2399999,0,0
0.2599999,0,0
0.2799999,0,0
0.2999999,0,0
0.3199999,0,0
0.3399999,0,0
0.3599999,0,0
0.3799999,0,0
0.3999999,0,0
0.4199998,0,0
0.4399998,0,0
0.4599998,0,0
0.4799998,0,0
0.4999998,0,0
0.5199998,0,0
0.5399998,0,0
0.5599998,0,0
0.5799998,0,0
0.5999998,0,0
0.6199998,0,0
0.6399997,0,0
0.6599998,0,0
0.6799998,0,0
0.6999997,0,0
0.7199997,0,0
0.7399997,0,0
0.7599998,0,0
0.7799997,0,0
0.7999997,0,0
0.8199997,0,0
0.8399997,0,0
0.8599997,0,0
0.8799997,0,0
0.8999997,0,0
0.9199997,0,0
0.9399996,0,0
0.9599997,0,0
0.9799997,0,0
0.9999996,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.16,0,0
1.18,0,0
1.2,0,0
1.22,0,0
1.24,0,0
1.26,0,0
1.279999,0,0
1.3,0,0
1.32,0,0
1.34,0,0
1.36,0,0
1.38,0,0
1.399999,0,0
1.419999,0,0
1.439999,0,0
1.459999,0,0
1.479999,0,0
1.5,0,0
1.52,0,0
1.539999,0,0
1.559999,0,0
1.579999,0,0
1.599999,0,0
1.619999,0,0
1.639999,0,0
1.659999,0,0
1.679999,0,0
1.699999,0,0
1.719999,0,0
1.739999,0,0
1.759999,0,0
1.779999,0,0
1.799999,0,0
1.819999,0,0
1.839999,0,0
1.859999,0,0
1.879999,0,0
1.899999,0,0
1.919999,0,0
1.939999,0,0
1.959999,0,0
1.979999,0,0
1.999999,0,0
2.019999,0,0
2.039999,0,0
2.059999,0,0
2.079999,0,0
2.099999,0,0
2.119999,0,0
2.139999,0,0
2.159999,0,0
2.179999,0,0
2.199999,0,0
2.219999,0,0
2.239999,0,0
2.259999,0,0
2.279999,0,0
2.299999,0,0
2.319999,0,0
2.339999,0,0
2.359999,0,0
2.379999,0,0
2.399999,0,0
2.419999,0,0
2.439999,0,0
2.459999,0,0
2.479999,0,0
2.499999,0,0
2.519999,0,0
2.539999,0,0
2.559999,0,0
2.579999,0,0
2.599999,0,0
2.619999,0,0
2.639999,0,0
2.659999,0,0
2.679999,0,0
2.699999,0,0
2.719999,0,0
2.739999,0,0
2.759999,0,0
2.779999,0,0
2.799999,0,0
2.819999,0,0
2.839999,0,0
2.859999,0,0
2.879999,0,0
2.899999,0,0
2.919999,0,0
2.939999,0,0
2.959999,0,0
2.979999,0,0
2.999999,0,0
3.019999,0,0
3.039999,758.0081,0
3.059999,1337.155,0
3.079999,1394.467,0
3.099999,2036.977,0
3.119999,2641.268,0
3.139999,3327.352,0
3.159999,4136.464,0
3.179999,4274.773,0
3.199999,5410.609,0
3.219999,6470.724,0
3.239999,7671.723,0
3.259999,8916.002,0
3.279999,10263.98,0
3.299999,10790.7,0
3.319999,12377.95,0
3.339999,13814.9,0
3.359999,14065.76,0
3.379999,14065.23,0
3.399999,14064.67,0
3.419999,14064.08,0
3.439999,14063.44,0
3.459999,14062.78,0
3.479999,14062.07,0
3.499999,14061.33,0
3.519999,14060.56,0
3.539999,14059.75,0
3.559999,14058.9,0
3.579999,14058.02,0
3.599999,14057.1,0
3.619999,14056.15,0
3.639999,14055.16,0
3.659999,14054.14,0
3.679999,14053.08,0
3.699999,14051.98,0
3.719999,14050.85,0
3.739999,14049.68,0
3.759999,14048.48,0
3.779999,14047.24,0
3.799999,14045.97,0
3.819999,14044.66,0
3.839999,14043.32,0
3.859999,14041.94,0
3.879999,7693.637,0
3.899999,7692.847,0
3.919999,7692.046,0
3.939999,7691.235,0
3.959999,7690.413,0
3.979999,7689.581,0
3.999999,7688.737,0
4.019999,7687.883,0
4.039999,7687.019,0
4.059999,7686.145,0
4.079998,7685.259,0
4.099998,7684.363,0
4.119998,7683.457,0
4.139998,7682.54,0
4.159998,7681.612,0
4.179998,7680.674,0
4.199998,14026.61,0
4.219998,14024.85,0
4.239998,14023.06,0
4.259998,14021.23,0
4.279998,14019.36,0
4.299998,14017.46,0
4.319998,14015.53,0
4.339998,14013.55,0
4.359998,14011.55,0
4.379999,14009.51,0
4.399999,14007.43,0
4.419999,14005.32,0
4.439999,14003.17,0
4.459999,14000.99,0
4.479999,13998.77,0
4.499999,12587.54,0
4.519999,6867.388,0
4.539999,6105.924,0
4.559999,6104.909,0
4.579998,5475.481,0
4.599998,4894.089,0
4.619998,4243.288,0
4.639998,4242.566,0
4.659998,3482.113,0
4.679998,2921.736,0
4.699998,2346.934,0
4.719998,2346.529,0
4.739998,1626.326,0
4.759998,1042.88,0
4.779998,409.4545,0
4.799998,409.3834,0
4.819998,-1483.831,0
4.839998,-1462.525,0
4.859998,-1448.283,0
4.879998,-1438.258,0
4.899998,-1430.76,0
4.919998,-1424.782,0
4.939998,-1419.72,0
4.959998,-1415.215,0
4.979998,-1411.049,0
4.999998,-1407.094,0
5.019998,-1403.272,0
5.039998,-1399.535,0
5.059998,-1395.856,0
5.079998,-1392.218,0
5.099998,-1388.611,0
5.119998,-1385.028,0
5.139998,-1381.466,0
5.159998,-1377.922,0
5.179998,-1374.396,0
5.199998,-1370.885,0
