Time,actual_gap1,actual_gap2,des_gap1,des_gap2,TargetVelocity
0,10,10,6.177,6.177,33.33333
0.01999999,10.00092,10,6.184646,6.184646,33.33333
0.03999998,10.00265,10.00012,6.204123,6.192093,33.33333
0.05999998,10.0052,10.00034,6.222686,6.201097,33.33333
0.07999997,10.00854,10.00066,6.242182,6.209848,33.33333
0.09999996,10.01269,10.0011,6.262336,6.21884,33.33333
0.12,10.01763,10.00165,6.283181,6.227973,33.33333
0.14,10.02335,10.00232,6.304705,6.237272,33.33333
0.1599999,10.02985,10.00312,6.326903,6.246737,33.33333
0.1799999,10.03713,10.00406,6.349769,6.256371,33.33333
0.1999999,10.04516,10.00513,6.373298,6.26618,33.33333
0.2199999,10.05396,10.00634,6.397483,6.276165,33.33333
0.2399999,10.06351,10.0077,6.42232,6.286333,33.33333
0.2599999,10.0738,10.00921,6.447802,6.296684,33.33333
0.2799999,10.08483,10.01088,6.473923,6.307224,33.33333
0.2999999,10.09659,10.01271,6.500679,6.317955,33.33333
0.3199999,10.10908,10.0147,6.528063,6.328881,33.33333
0.3399999,10.12229,10.01686,6.556071,6.340005,33.33333
0.3599999,10.13621,10.01919,6.584697,6.35133,33.33333
0.3799999,10.15084,10.0217,6.613935,6.36286,33.33333
0.3999999,10.16617,10.0244,6.64378,6.374597,33.33333
0.4199998,10.1822,10.02727,6.674227,6.386544,33.33333
0.4399998,10.19892,10.03034,6.705271,6.398705,33.33333
0.4599998,10.21632,10.0336,6.736907,6.411081,33.33333
0.4799998,10.2344,10.03705,6.769129,6.423677,33.33333
0.4999998,10.25315,10.04071,6.801932,6.436494,33.33333
0.5199998,10.27257,10.04457,6.835311,6.449535,33.33333
0.5399998,10.29264,10.04863,6.869262,6.462803,33.33333
0.5599998,10.31338,10.05291,6.903779,6.4763,33.33333
0.5799998,10.33476,10.0574,6.938858,6.490029,33.33333
0.5999998,10.35678,10.0621,6.974493,6.503993,33.33333
0.6199998,10.37945,10.06703,7.010679,6.518192,33.33333
0.6399997,10.40274,10.07217,7.047413,6.532631,33.33333
0.6599998,10.42666,10.07755,7.084689,6.54731,33.33333
